0 0 0.000000
0 1 0.000000
0 2 0.000000
0 3 0.000000
0 4 0.000000
0 5 0.000000
0 6 0.000000
0 7 0.000000
0 8 0.000000
0 9 0.000000
0 10 0.000000
0 11 0.000000
0 12 0.000000
0 13 0.000000
0 14 0.000000
0 15 0.000000
0 16 0.000000
0 17 0.000000
0 18 0.000000
0 19 0.000000
0 20 0.000000
0 21 0.000000
0 22 0.000000
0 23 0.000000
0 24 0.000000
0 25 0.000000
0 26 0.000000
0 27 0.000000
0 28 0.000000
0 29 0.000000
0 30 0.000000
0 31 0.000000
0 32 0.000000
0 33 0.000000
0 34 0.000000
0 35 0.000000
0 36 0.000000
0 37 0.000000
0 38 0.000000
0 39 0.000000
0 40 0.000000
0 41 0.000000
0 42 0.000000
0 43 0.000000
0 44 0.000000
0 45 0.000000
0 46 0.000000
0 47 0.000000
0 48 0.000000
0 49 0.000000
0 50 0.000000
0 51 0.000000
0 52 0.000000
0 53 0.000000
0 54 0.000000
0 55 0.000000
0 56 0.000000
0 57 0.000000
0 58 0.000000
0 59 0.000000
0 60 0.000000
0 61 0.000000
0 62 0.000000
0 63 0.000000
1 0 0.000000
1 1 -15516.088050
1 2 3603.274853
1 3 1409.039749
1 4 -217.054759
1 5 -122.552102
1 6 11.226087
1 7 10.282753
1 8 -0.387846
1 9 -0.836286
1 10 -0.010833
1 11 0.065296
1 12 0.003506
1 13 -0.005542
1 14 -0.001050
1 15 -0.000083
1 16 -0.000365
1 17 -0.000428
1 18 -0.000383
1 19 -0.000350
1 20 -0.000327
1 21 -0.000305
1 22 -0.000283
1 23 -0.000262
1 24 -0.000242
1 25 -0.000223
1 26 -0.000205
1 27 -0.000188
1 28 -0.000173
1 29 -0.000158
1 30 -0.000144
1 31 -0.000131
1 32 -0.000119
1 33 -0.000108
1 34 -0.000098
1 35 -0.000089
1 36 -0.000080
1 37 -0.000072
1 38 -0.000065
1 39 -0.000058
1 40 -0.000053
1 41 -0.000047
1 42 -0.000042
1 43 -0.000038
1 44 -0.000034
