0 0 0.000000
0 1 0.000000
0 2 0.000000
0 3 0.000000
0 4 0.000000
0 5 0.000000
0 6 0.000000
0 7 0.000000
0 8 0.000000
0 9 0.000000
0 10 0.000000
0 11 0.000000
0 12 0.000000
0 13 0.000000
0 14 0.000000
0 15 0.000000
0 16 0.000000
0 17 0.000000
0 18 0.000000
0 19 0.000000
0 20 0.000000
0 21 0.000000
0 22 0.000000
0 23 0.000000
0 24 0.000000
0 25 0.000000
0 26 0.000000
0 27 0.000000
0 28 0.000000
0 29 0.000000
0 30 0.000000
0 31 0.000000
0 32 0.000000
0 33 0.000000
0 34 0.000000
0 35 0.000000
0 36 0.000000
0 37 0.000000
0 38 0.000000
0 39 0.000000
0 40 0.000000
0 41 0.000000
0 42 0.000000
0 43 0.000000
0 44 0.000000
0 45 0.000000
0 46 0.000000
0 47 0.000000
0 48 0.000000
0 49 0.000000
0 50 0.000000
0 51 0.000000
0 52 0.000000
0 53 0.000000
0 54 0.000000
0 55 0.000000
0 56 0.000000
0 57 0.000000
0 58 0.000000
0 59 0.000000
0 60 0.000000
0 61 0.000000
0 62 0.000000
0 63 0.000000
1 0 0.000000
1 1 -12033.623819
1 2 2788.491365
1 3 1090.618455
1 4 -167.662740
1 5 -94.675538
1 6 8.654780
1 7 7.928666
1 8 -0.298555
1 9 -0.643825
1 10 -0.008487
1 11 0.050032
1 12 0.002571
1 13 -0.004354
1 14 -0.000894
1 15 -0.000141
1 16 -0.000344
1 17 -0.000381
1 18 -0.000336
1 19 -0.000301
1 20 -0.000276
1 21 -0.000251
1 22 -0.000228
1 23 -0.000206
1 24 -0.000186
1 25 -0.000168
1 26 -0.000151
1 27 -0.000135
1 28 -0.000121
1 29 -0.000108
1 30 -0.000096
1 31 -0.000086
1 32 -0.000076
1 33 -0.000068
1 34 -0.000060
1 35 -0.000053
1 36 -0.000047
1 37 -0.000042
1 38 -0.000037
1 39 -0.000033
1 40 -0.000029
1 41 -0.000025
1 42 -0.000023
1 43 -0.000020
1 44 -0.000018
